"_time","src_ip","dest_ip",user,action,sourcetype,host
"2018-08-20T17:55:23.000+0300",,"BGIST-L","BGIST-L$
SYSTEM",success,WinEventLog,"BGIST-L"
"2018-08-20T17:51:11.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T17:51:16.000+0300",,"BTUN-L","BTUN-L$
SYSTEM",success,WinEventLog,"BTUN-L"
"2018-08-20T18:01:26.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T18:01:26.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T18:00:17.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T17:59:57.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T17:59:22.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T17:58:32.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T17:57:39.000+0300",,"FYODOR-L","FYODOR-L$
SYSTEM",success,WinEventLog,"FYODOR-L"
"2018-08-20T17:51:59.000+0300",,"JWORTOS-L","JWORTOS-L$
SYSTEM",success,WinEventLog,"JWORTOS-L"
"2018-08-20T17:56:11.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T18:16:54.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T18:16:37.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T18:16:37.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T18:16:28.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T18:12:50.000+0300",,"FYODOR-L","FYODOR-L$
SYSTEM",success,WinEventLog,"FYODOR-L"
"2018-08-20T18:12:44.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T18:10:31.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T18:07:34.000+0300",,"BSTOLL-L","BSTOLL-L$
SYSTEM",success,WinEventLog,"BSTOLL-L"
"2018-08-20T18:03:49.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T18:02:49.000+0300",,"PCERF-L","PCERF-L$
SYSTEM",success,WinEventLog,"PCERF-L"
"2018-08-20T16:26:28.000+0300",,"BGIST-L","BGIST-L$
SYSTEM",success,WinEventLog,"BGIST-L"
"2018-08-20T16:26:27.000+0300",,"MKRAEUS-L","MKRAEUS-L$
SYSTEM",success,WinEventLog,"MKRAEUS-L"
