"_time","src_ip","dest_ip","dest_port","bytes_out",sourcetype,host
"2018-08-20T12:20:14.000+0300","83.110.103.177","172.16.1.239",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:22:14.000+0300","122.147.157.70","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:16:14.000+0300","14.162.222.3","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:16:14.000+0300","1.179.189.137","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:15:15.000+0300","182.253.177.177","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:14:26.000+0300","118.97.165.193","172.16.0.13",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:12:26.000+0300","103.213.194.148","172.16.0.13",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:12:26.000+0300","123.24.131.220","172.16.0.13",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:11:26.000+0300","212.75.16.208","172.16.0.13",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:10:26.000+0300","223.197.33.225","172.16.0.13",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:13:14.000+0300","125.163.88.52","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:09:13.000+0300","187.141.52.113","172.16.1.239",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:10:20.000+0300","222.124.29.240","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:07:14.000+0300","111.93.117.178","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:06:16.000+0300","36.232.152.38","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:05:14.000+0300","69.172.67.73","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:14:24.000+0300","113.97.59.88","172.16.0.127",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:05:28.000+0300","203.189.89.178","172.16.0.127",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:04:14.000+0300","118.69.32.219","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:04:14.000+0300","125.113.179.171","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:05:14.000+0300","113.161.160.122","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:04:14.000+0300","118.69.32.219","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:04:14.000+0300","125.113.179.171","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:03:24.000+0300","113.183.100.214","172.16.0.127",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:07:13.000+0300","203.189.89.178","172.16.0.149",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:03:24.000+0300","113.183.100.214","172.16.0.127",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:04:14.000+0300","118.69.32.219","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:04:14.000+0300","125.113.179.171","172.16.1.181",445,,"aws:cloudwatchlogs:vpcflow",serverless
"2018-08-20T12:03:24.000+0300","113.183.100.214","172.16.0.127",445,,"aws:cloudwatchlogs:vpcflow",serverless
